1,0,541.51,271.56,107.27,323.43,-1,-1,-1,-1
1,1,402.62,265.16,113.75,341.38,-1,-1,-1,-1
1,2,909.41,130.78,234.52,663.40,-1,-1,-1,-1
1,3,793.99,331.57,41.78,116.17,-1,-1,-1,-1
1,4,744.18,326.85,40.18,122.27,-1,-1,-1,-1
2,0,536.28,271.40,106.31,323.23,-1,-1,-1,-1
2,1,396.24,266.60,112.85,334.24,-1,-1,-1,-1
2,2,903.36,123.26,243.06,661.20,-1,-1,-1,-1
2,3,791.82,330.64,42.29,119.54,-1,-1,-1,-1
2,4,737.99,315.80,43.60,131.85,-1,-1,-1,-1
3,0,534.37,275.46,99.56,313.20,-1,-1,-1,-1
3,1,387.30,270.96,114.40,330.25,-1,-1,-1,-1
3,2,891.46,147.52,232.40,642.80,-1,-1,-1,-1
3,3,789.56,330.42,41.86,118.20,-1,-1,-1,-1
3,4,736.31,315.73,44.50,132.54,-1,-1,-1,-1
4,0,530.61,270.27,102.23,326.29,-1,-1,-1,-1
4,1,378.62,268.05,116.88,331.44,-1,-1,-1,-1
4,2,886.57,152.75,228.82,641.11,-1,-1,-1,-1
4,3,787.80,330.18,42.65,119.58,-1,-1,-1,-1
4,5,690.29,332.65,38.51,125.04,-1,-1,-1,-1
4,4,733.17,314.20,44.85,134.30,-1,-1,-1,-1
5,0,526.05,265.35,100.62,324.15,-1,-1,-1,-1
5,1,370.32,266.44,119.04,333.80,-1,-1,-1,-1
5,2,874.39,156.47,223.59,642.20,-1,-1,-1,-1
5,3,785.19,329.45,42.56,118.97,-1,-1,-1,-1
5,4,728.81,313.69,45.43,133.42,-1,-1,-1,-1
5,5,688.29,329.29,38.85,128.91,-1,-1,-1,-1
6,0,520.00,262.76,102.38,331.25,-1,-1,-1,-1
6,1,362.03,264.79,121.58,338.32,-1,-1,-1,-1
6,2,875.74,159.73,220.82,652.81,-1,-1,-1,-1
6,3,784.47,330.49,41.92,118.27,-1,-1,-1,-1
6,4,725.26,313.68,45.80,134.35,-1,-1,-1,-1
6,5,685.47,330.25,39.12,127.07,-1,-1,-1,-1
7,0,514.70,260.05,104.13,336.02,-1,-1,-1,-1
7,1,352.49,261.46,122.67,341.49,-1,-1,-1,-1
7,2,875.83,160.68,212.03,634.67,-1,-1,-1,-1
7,3,783.15,330.29,42.51,119.09,-1,-1,-1,-1
7,4,723.78,314.45,45.36,133.27,-1,-1,-1,-1
7,5,682.18,329.39,40.67,129.06,-1,-1,-1,-1
8,0,510.51,268.72,102.46,329.53,-1,-1,-1,-1
8,1,347.97,261.14,123.19,345.79,-1,-1,-1,-1
8,2,872.59,162.86,209.31,620.99,-1,-1,-1,-1
8,3,781.17,330.58,42.92,118.83,-1,-1,-1,-1
8,4,718.53,319.81,46.55,134.41,-1,-1,-1,-1
8,5,680.66,332.60,39.46,124.24,-1,-1,-1,-1
8,6,834.54,333.88,49.81,120.74,-1,-1,-1,-1
9,0,506.61,268.06,103.69,333.99,-1,-1,-1,-1
9,1,342.02,264.85,122.12,343.63,-1,-1,-1,-1
9,2,877.14,163.63,207.33,616.09,-1,-1,-1,-1
9,3,779.46,331.51,43.52,118.67,-1,-1,-1,-1
9,4,715.89,317.43,46.91,131.51,-1,-1,-1,-1
9,5,676.54,332.35,42.50,128.38,-1,-1,-1,-1
